id_cliente,nombre,email,ciudad,fecha_registro
1,  cliente 1  ,cliente1@mail.com,  chiclayo,09/06/2024
2,Cliente 2  ,cliente2@mail.com,TRUJILLO,2019-12-12
3,  Cliente 3  ,cliente3@mail.com,Piura,03-19-2019
4,Cliente 4,cliente4@mail.com,  Chiclayo,04/05/2021
5,  Cliente 5  ,cliente5@mail.com,Cusco  ,N/A
6,  Cliente 6,,  Iquitos  ,2020/11/24 11:47:57
7,Cliente 7,cliente7@mail.com,  piura,2020/03/09 12:42:06
8,,   TEST@MAIL.COM  ,piura  ,15/11/2019
9,CLIENTE 9  ,cliente9@mail.com,  Chiclayo  ,03/10/2024
10,  CLIENTE 10,cliente10@mail.com,Arequipa  ,22/08/2023
11,cliente 11,cliente11@mail.com,CUSCO  ,2019/09/28 02:37:44
12,CLIENTE 12,cliente12@mail.com,  Chiclayo,2024-01-09
13,Cliente 13,cliente13@mail.com,  CUSCO,03/08/2022
14,  CLIENTE 14  ,cliente14@mail.com,cusco  ,2019/04/09 17:53:19
15,  Cliente 15  ,cliente15@mail.com,IQUITOS  ,2019/04/03 13:50:30
16,CLIENTE 16  ,cliente16@mail.com,  piura,19/10/2019
17,Cliente 17,cliente17@mail.com,,N/A
18,CLIENTE 18  ,cliente18@mail.com,  Iquitos,N/A
19,Cliente 19,cliente19@mail.com,iquitos,04-20-2023
20,  cliente 20,cliente20@mail.com,cusco,2024/02/14 09:46:12
21,CLIENTE 21  ,cliente21@mail.com,TACNA  ,03-24-2019
22,Cliente 22  ,cliente22@mail.com,  piura  ,10-10-2023
23,cliente 23  ,cliente23@mail.com,  Arequipa,N/A
24,  Cliente 24,cliente24@mail.com,Iquitos  ,N/A
25,Cliente 25,cliente25@mail.com,  Trujillo  ,2024-12-18
26,  CLIENTE 26  ,cliente26@mail.com,TACNA,2023/08/21 01:46:55
27,,cliente27@mail.com,Tacna,2022-07-27
28,CLIENTE 28,cliente28@mail.com,Arequipa,15/11/2020
29,  Cliente 29  ,cliente29@mail.com,Iquitos  ,2022-10-27
30,CLIENTE 30  ,cliente30@mail.com,TRUJILLO  ,05/01/2024
31,,cliente31@mail.com,  Piura,05-14-2021
32,Cliente 32,cliente31mail.com,  LIMA  ,2019/01/21 04:34:57
33,CLIENTE 33,cliente33@mail.com,Trujillo,2020-05-11
34,CLIENTE 34,cliente33mail.com,  Arequipa  ,2024/12/09 01:02:47
35,  Cliente 35,cliente35@mail.com,  Tacna,08-06-2022
36,CLIENTE 36,cliente35mail.com,Piura,11-23-2021
37,Cliente 37,cliente37@mail.com,Trujillo,05-13-2021
38,  Cliente 38,cliente38@mail.com,lima  ,04-28-2020
39,Cliente 39,cliente39@mail.com,Lima  ,N/A
40,CLIENTE 40,,  Cusco,N/A
41,  CLIENTE 41,cliente41@mail.com,cusco,11-14-2019
42,  Cliente 42,cliente42@mail.com,chiclayo,10-16-2019
43,,cliente43@mail.com,  Arequipa  ,2022-03-26
44,  cliente 44  ,cliente44@mail.com,  iquitos  ,2019/10/28 11:41:45
45,CLIENTE 45,cliente45@mail.com,TRUJILLO,2022-01-20
46,CLIENTE 46  ,cliente46@mail.com,  Trujillo  ,12-04-2021
47,cliente 47,cliente47@mail.com,  Iquitos  ,N/A
48,  cliente 48,cliente48@mail.com,  CHICLAYO,01/04/2021
49,cliente 49,cliente49@mail.com,Tacna  ,N/A
50,  Cliente 50,cliente50@mail.com,tacna,N/A
